   spec_id                                kic             teff          err_teff           logg          err_logg        feh            err_feh           afe            err_afe       ch              err_ch         nh             err_nh         dnu             err_dnu       numax         err_numax      mass          err_mass         age                       err_age
 20150520-HD190126N465605V01-13-076       10132247      4900.5205078     77.5910416        2.8078101      0.0646657     -0.2151918      0.0536185        0.0851220      0.0294324     -0.2229290      0.0574668     -0.1693470      0.0694640      6.4813800      0.0132400     63.8359413      0.5058500      1.2346271      0.0687608       4.7619499999999997       1.0598700000000001  

 20151002-KP192314N471144V02-10-226       10132814      4715.9599609     94.9826279        2.9639101      0.0968159      0.0361019      0.0607460        0.0412386      0.0337047     -0.0091755      0.0669662      0.2298400      0.0824553      9.4134398      0.0185700    107.8347931      0.8160400      1.2008413      0.0730164       6.9113400000000000       1.5969800000000001  

 20151002-KP192314N471144V03-10-233       10133033      4851.9877930     81.3922577        3.3044901      0.0737228      0.2318656      0.0546034        0.0325394      0.0277169      0.1164420      0.0527162      0.3878730      0.0752478     14.7020397      0.0240800    192.6700745      0.8518500      1.2677505      0.0570207       5.2321099999999996       1.4277899999999999  

 20151002-KP192314N471144V03-04-170       10136905      4931.7509766     76.6822433        3.1710000      0.0792092     -0.3393375      0.0561123        0.2222580      0.0293718     -0.2400200      0.0599766     -0.4728840      0.0754089     15.2600803      0.0243100    185.3499146      1.0128300      1.0060301      0.0463664       9.9183199999999996       1.9084099999999999  

 20151002-KP192314N471144V02-04-240       10140238      4501.4848633    104.7932053        2.7958300      0.0791401      0.2266801      0.0545781        0.0974005      0.0282530      0.2747320      0.0593527      0.4403350      0.0742714      6.6364698      0.0153300     68.0991287      0.6664700      1.1168474      0.0821103      10.8961000000000010       3.0751800000000000  

 20140913-KP193637N444141V01-11-160       10145279      4693.8676758     83.9097748        2.4582901      0.0726747     -0.2628841      0.0527291        0.0780825      0.0269688     -0.3072560      0.0577290     -0.1537540      0.0730278      3.5906301      0.0129300     31.2252998      0.4545800      1.3349818      0.1133307       4.2500499999999999       1.4023000000000001  

